,2012,2012,2012,2014,2014,2014,2016,2016,2016,2018,2018,2018,2020,2020,2020
,버스,지하철,택시,버스,지하철,택시,버스,지하철,택시,버스,지하철,택시,버스,지하철,택시
도심권,6.85,7.01,5.21,6.92,7.13,5.61,6.7,6.83,5.53,7.13,7.2,6.05,7.13,7.3,6.01
동북권,6.34,6.67,5.33,6.82,6.99,5.65,6.85,6.77,5.66,6.81,7.07,5.59,7.14,7.23,5.82
서북권,6.29,6.79,5.53,6.41,6.58,5.61,6.94,6.83,5.33,6.78,7.05,5.81,7.17,7.3,5.8
서남권,6.85,6.96,5.73,6.68,6.88,5.65,6.88,6.68,5.67,7.03,7.11,5.88,7.26,7.27,5.88
동남권,6.65,6.77,5.68,7.04,7.15,5.91,6.82,6.53,5.58,6.87,6.92,6.09,7.24,7.45,5
