연도,도심권,동북권,서북권,서남권,동남권
y2006,63.2,62.9,63.7,61.9,64.5
y2009,65.3,63.8,67.9,65.4,65.6
y2012,70.1,66.7,67.9,69.6,67.7
y2015,70.7,70,67.4,70.7,70.9
y2018,72,70.7,70.5,71.1,69.2
y2021,60.3,60,60.7,58.9,60.9
