연도,도심권,동북권,서북권,서남권,동남권
y2006,51.6,46.4,44.1,48.6,52.7
y2009,52.2,50.9,51.3,53.8,54.7
y2012,52.1,53.3,55.3,57.3,56.8
y2015,56.9,58.2,58.4,58.4,61.1
y2018,60.5,55.9,58.1,58.8,60.9
y2021,66.4,66.3,65.7,65.1,66.8
