연도,도심권,동북권,서북권,서남권,동남권
y2006,59.6,56.9,55.6,57.2,55.2
y2009,61.3,60.7,64,61.6,63
y2012,68.5,63.4,62.9,68.5,66.5
y2015,68.7,68.7,64.3,68.9,71.4
y2018,71.3,68.1,67.8,70.3,68.7
y2021,72.9,73.4,74.4,73.9,74.2
